年份,住宅竣工套数,住宅销售套数
2010,6019767,8757840
2011,7219163,9053368
2012,7642379,9334017
2013,7493133,10855462
2014,7659418,9911037
2015,7050109,10340955
2016,7455409,12419487
2017,6770598,12901534
2018,6229216,12811223
2019,6452838,12734356
2020,5976595,13036452
2021,6468266,13156175
2022,6502402,9597561
2023,6606549,8258625
